"ToxPi Score","HClust Group","KMeans Group","Name","Source","Transmissible Cases!25!0xcc3333ff","Disease Spread!5!0xe05251ff","Population Mobility!10!0x57b757ff","Residential Density!10!0x70c970ff","Social Distancing!10!0x4258c9ff","Testing!10!0x5f73ddff","Population Demographics!10!0x6b0b9eff","Air Pollution!10!0x7e24aeff","Age Distribution!10!0x933fbfff","Comorbidities!10!0xa95ad2ff","Health Disparities!10!0xc177e7ff","Hospital Beds!5!0xdb95feff"
"0.39392918923321624","4","1","Virginia, Shenandoah","-78.5681,38.8591","0.10616067474010414","0.08262078801925488","0.6253453229582896","0.2595","0.7297297297297297","0.6549505098985919","0.42920286418114423","0.34730538922155696","0.6371246099900815","0.3465841754050936","0.2711512651457996","0.6330178360500563"
"0.4361547531555604","4","1","Virginia, Smyth","-81.5334,36.8446","0.12601109228630475","0.13171846419069774","0.6123169450948396","0.83","0.5405405405405405","0.6549505098985919","0.25098284267653315","0.34730538922155696","0.6353456481032828","0.443114498845675","0.4968083632204926","0.5193654280637647"
"0.36862165213358306","4","1","Virginia, Southampton","-77.1064,36.7223","0.04619687872458737","0.060377146924468425","0.5254422655253762","0.5584","0.45945945945945943","0.6549505098985919","0.5398782563226369","0.3652694610778443","0.595880459448231","0.4790501556287521","0.2837593140351929","0.0"
"0.40649047176791997","4","1","Virginia, Spotsylvania","-77.6554,38.1857","0.13137039904524447","0.14102782381323542","0.6665760763763658","0.1468","1.0","0.6549505098985919","0.6055022985489164","0.3592814371257485","0.46408171358848016","0.3111753526086958","0.17331464304969743","0.6010179127655517"
"0.39602563318875433","4","1","Virginia, Stafford","-77.4592,38.4176","0.13902809398312113","0.13072436614732977","0.7183865710014518","0.1296","1.0","0.6549505098985919","0.6716942276209595","0.3652694610778443","0.3530812563017395","0.25708874630917444","0.07997613598915124","0.6146821772580985"
"0.341559354640663","4","1","Virginia, Surry","-76.8845,37.1178","0.033601648004881725","0.06451650113621954","0.46704800825926457","0.2588","0.45945945945945943","0.6549505098985919","0.574816334183714","0.33532934131736525","0.6317620454190964","0.3731083228376938","0.397955541052788","0.0"
"0.4418773501852611","4","1","Virginia, Sussex","-77.2579,36.9243","0.07173900394796608","0.062138012615068516","0.5375756946641246","0.8965","0.6486486486486487","0.6549505098985919","0.6193371263250644","0.3652694610778443","0.5561726637917245","0.4502651716586176","0.5843310850736979","0.0"
"0.41446082868715206","4","1","Virginia, Tazewell","-81.5669,37.1219","0.07413245761751402","0.08766985004779886","0.6032828069991777","0.6845","0.6486486486486487","0.6549505098985919","0.23828941682779306","0.3592814371257485","0.6317620454190964","0.4451796564901293","0.5102206774071968","0.3509581814106685"
"0.41156008609832256","2","1","Virginia, Warren","-78.2028,38.9085","0.16849630503802238","0.2145162242996679","0.665870578373209","0.2117","0.8108108108108107","0.6549505098985919","0.4626852967521255","0.34131736526946105","0.5191044408593759","0.38020203421731164","0.3120231063246228","0.5146761179572672"
"0.3946500179409917","4","1","Virginia, Washington","-81.9567,36.7234","0.09220935228874212","0.1040387161179716","0.6170349661487292","0.3426","0.7297297297297297","0.6549505098985919","0.22803728204497","0.38922155688622756","0.6476236650502001","0.4055831916404594","0.40016507105313864","0.4712730260590168"
"0.3585140318142631","4","1","Virginia, Westmoreland","-76.8021,38.1102","0.07386541966104603","0.1336375057858892","0.5675682444444229","0.0761","0.45945945945945943","0.6549505098985919","0.6559520636870786","0.34131736526946105","0.6884403224054082","0.41566455063262","0.3704905798356872","0.0"
"0.4574447231160443","4","1","Virginia, Wise","-82.6241,36.9746","0.05917592653996261","0.06978927830549198","0.6042084499125737","0.9325","0.7297297297297297","0.6549505098985919","0.29591529089130897","0.39520958083832336","0.5561726637917245","0.5058190532350196","0.6065305410560228","0.5083775281892113"
"0.4304978371934965","2","1","Virginia, Wythe","-81.0783,36.9158","0.2603797332598975","0.31220754963963326","0.6086004222326157","0.3394","0.7297297297297297","0.6549505098985919","0.2639726016044454","0.34730538922155696","0.626321192473144","0.3971528191609505","0.4060258826960433","0.40142261986413474"
"0.4011566497483832","4","1","Virginia, York","-76.5441,37.2437","0.16847966905459352","0.18197183098591557","0.7334006155798821","0.1538","1.0","0.6549505098985919","0.5723311541536581","0.3532934131736527","0.5191044408593759","0.19653271844982936","0.0833657985147228","0.4709887661912733"
"0.45536786904760546","4","1","Washington, Adams","-118.5602,46.983","0.05451474172356284","0.08584775652255175","0.4866467086206671","0.8933","0.6486486486486487","0.8297066159423517","0.69321454143732","0.37724550898203596","0.38929338935206537","0.3040109511877223","0.6738299240256533","0.43398268465683965"
"0.3932461249418577","4","1","Washington, Asotin","-117.2023,46.1889","0.09653888833297615","0.08601063977553684","0.5738561296879904","0.3142","0.6486486486486487","0.8297066159423517","0.39879306252971536","0.33532934131736525","0.6578350382684304","0.30882915422301915","0.2878791035029661","0.5522938538650475"
